team,name,position,matches,goals,assists,status
Bologna,Nicolo cambiaghi ,F,0,0,0,Injured
Bologna,Niklas Pyyhtiae ,M,0,0,0,Injured
Cagliari,Zito Luvumbo,F,0,0,0,Injured
Como,Edoardo Goldaniga,D,0,0,0,Suspended
Como,Nikolas Ioannou,D,0,0,0,Suspended
Empoli,Szymon Zurkowski ,M,0,0,0,Injured
Empoli,Tyronne Ebuehi ,D,0,0,0,Injured
Empoli,Nicolas Haas,M,0,0,0,Injured
Fiorentina,Sofyan Amrabat,M,0,0,0,Suspended
Genoa,Ruslan Malinovskyi,M,0,0,0, Injured
Genoa,Junior Messias,F,0,0,0,Injured
Genoa,Caleb Ekuban,F,0,0,0,Injured
Genoa,Brooke Norton-Cuffy,D,0,0,0,Injured
Genoa,Alan Matturro,D,0,0,0,Injured
Hellas Verona,Martin Frese,F,0,0,0,Injured
Hellas Verona,Abdou Harroui,M,0,0,0,Injured
Hellas Verona,Suat Serdar,M,0,0,0,Suspended
Inter ,Benjamin Pavard,D,0,0,0,Injured
Inter ,R. Di Gennaro,G,0,0,0,Injured
Inter ,F. Acerbi,D,0,0,0,Injured
Inter ,Valentin Carboni,M,0,0,0,Injured
Inter ,Martin Satriano,F,0,0,0,Injured
Juventus,Arkadiusz Milik ,F,0,0,0,Injured
Juventus,A. Cambiaso,D,0,0,0,Injured
Juventus,Gleison Bremer,D,0,0,0,Injured
Juventus,Juan Cabal,M,0,0,0,Injured
Juventus,J. Cabal,D,0,0,0,Injured
Lazio, Valentin Castellanos,F,0,0,0,Suspended
Lazio, Matias Vecino,M,0,0,0,Injured
Lecce,Jeppe Corfitzen ,F,0,0,0,Injured
Lecce,Lameck Banda,F,0,0,0,Injured
Lecce,Kialonda Gaspar,M,0,0,0,Injured
SS Monza 1912,Roberto Gagliardini,M,0,0,0,Injured
SS Monza 1912,Matteo Pessina,M,0,0,0,Injured
SS Monza 1912,Alessio Cragno,G,0,0,0,Injured
SS Monza 1912,Pablo Mari,D,0,0,0,Suspended
SS Monza 1912,Danilo D'Ambrosio,D,0,0,0,Suspended
Parma Calcio,Alessandro Circati,D,0,0,0,Injured
Parma Calcio,Mateusz Kowalski,M,0,0,0,Injured
Parma Calcio,Adrian Bernabe,D,0,0,0,Injured
Parma Calcio,Yordan Osorio,D,0,0,0,Injured
